Number,Name,Latitude,Longtitude,Capacity,Type,Type of roof,Organization
1,Alton,36.2943580450404,59.5941736148717,500,Vertical,Roof,Transport org
2,Pardis,36.2962357167347,59.5997368266893,40,Flat,Open,Transport org
3,Payam,36.3144325159160,59.5620618432275,274,Mechanized,Roof,Transport org
4,Kayam35,36.3162127250903,59.5632529668992,12,Mechanized,Roof,Transport org
5,Kolahdooz,36.2980563780068,59.5727383908376,70,Flat,Open,Transport org
6,Proma,36.3254427690250,59.5638237102643,170,Vertical,Roof,Private
7,ShahreBazi,36.3450662520616,59.5931146057017,200,Flat,Open,Private
8,AlmaseSharq,36.3471080692055,59.5975918938936,1200,Vertical,Roof,Private
9,Vesal,36.3473109890472,59.5979238636107,1000,Vertical,Roof,Private
10,Aftab,36.3470947050501,59.5949643610819,120,Flat,Open,Private
11,Sepad1,36.3474936287414,59.5913534174636,300,Vertical,Roof,Private
12,Sepad2,36.3456453902266,59.5895256050520,300,Vertical,Roof,Private
13,Armaqan,36.3261682375980,59.5500093242277,44,Flat,Roof,Private
14,KianCenter1,36.3387854845578,59.5522542892407,40,Vertical,Roof,Private
15,Karimi,36.3147701601952,59.5943053577963,32,Mechanized,Roof,Municipality
16,Shohada,36.2995548119349,59.6062676557308,250,Vertical,Roof,Transport org
17,Shirazi,36.2962572375437,59.6115036897175,15,Flat,Open,Private
18,KhajeRabie,36.3361912308580,59.6263747527547,500,Flat,Open,AstaneQods
19,RahAhan,36.3042594338909,59.6223219607161,130,Flat,Open,Transport org
20,Vahdat1,36.2837398004297,59.6265439544674,120,Flat,Open,Transport org
21,AbbasQoli,36.2822754781758,59.6265324923242,60,Flat,Roof,Transport org
22,Ommat,36.2918264943427,59.6467987628560,15,Flat,Open,Private
23,Musalla,36.2774190961748,59.6275702866093,12,Mechanized,Roof,Transport org
24,Keramat,36.2714113378287,59.6582669288027,40,Flat,Open,Private
25,Hafez1,36.2619075570112,59.6512050344402,45,Flat,Open,Private
26,Hafez2,36.2610731921626,59.6500939362459,65,Flat,Open,Private
27,Hafez3,36.2625919521923,59.6514029833149,60,Flat,Open,Private
28,AbbasPour,36.2667635243602,59.6556225202191,40,Flat,Open,Private
29,Aseman,36.2743985362913,59.6181471914265,2100,Vertical,Roof,Private
30,Danesh1,36.2758500992650,59.6151932019733,60,Flat,Open,Transport org
31,Fadayan,36.2575729353288,59.6195704323974,12,Mechanized,Roof,Transport org
32,BazzarReza,36.2773233720945,59.6170673470003,40,Mechanized,Roof,Transport org
33,KoohSangi,36.2850548038123,59.5575273146420,800,Flat,Open,Transport org
34,ZistKhavar,36.2895712314154,59.5850177909758,400,Vertical,Roof,Private
35,ShahinFar,36.2923648829858,59.6059586254466,30,Flat,Open,Transport org
36,Yeganeh,36.2856955978220,59.5910080504575,70,Flat,Open,Transport org
37,BaqMelli1,36.2898903315621,59.6004834944987,60,Flat,Open,Transport org
38,Modares,36.2927963409429,59.6001420362127,500,Flat,Open,Transport org
39,Danesh2,36.2798038209754,59.6061409939871,70,Flat,Open,Transport org
40,BaqMelli2,36.2906830173863,59.5981761114328,48,Mechanized,Roof,Transport org
41,Akhond,36.2900163935561,59.6066385770598,250,Vertical,Roof,Transport org
42,Daraei,36.2870758952821,59.5980669341560,60,Flat,Open,Transport org
43,Enqelab,36.2639307053897,59.5838989103487,70,Flat,Open,Transport org
44,Cheraqchi,36.3258729408854,59.4914584018661,220,Flat,Open,Police
45,KohestanPark,36.3439478098762,59.4460780675166,2800,Flat,Open,Private
46,MellatPark1,36.3170666380659,59.5367370274025,85,Flat,Open,Transport org
47,MellatPark2,36.3213255199324,59.5418029304628,600,Flat,Open,Transport org
48,Farhang,36.3341199006132,59.4933618447935,36,Flat,Open,Municipality
49,Emamat,36.3262852666933,59.5352746367866,40,Mechanized,Roof,Transport org
50,Moalem,36.3247650964374,59.5398436035526,24,Mechanized,Roof,Transport org
51,Elahieh,36.3758555173536,59.4769336299156,150,Flat,Open,Transport org
52,Asefi,36.2915710203380,59.6202721631602,50,Flat,Open,Municipality
53,Kashani,36.2979359546241,59.6198886046049,22,Flat,Open,Municipality
54,Navab,36.2853571522643,59.6270278094484,44,Flat,Open,Municipality
55,Noqan1,36.2944501355739,59.6221142722516,61,Flat,Open,Municipality
56,Noqan2,36.2936402307535,59.6217335470210,71,Flat,Open,Municipality
57,Noqan3,36.2948958591046,59.6223776577786,124,Flat,Open,Municipality
58,Norouz,36.2923614557993,59.6213160809705,32,Flat,Open,Municipality
59,Forouzan,36.2896892621183,59.6209307615264,60,Flat,Open,Municipality
60,Qafarian,36.2828885146679,59.6147479082054,20,Flat,Open,Municipality
61,Kasra,36.2848380145541,59.6116254327489,60,Flat,Open,Private
62,Reza,36.2845414871127,59.6120016785921,180,Vertical,Roof,Transport org
63,Edalat,36.2813303537719,59.6223085224975,60,Flat,Roof,Private
64,Moein,36.3077118592122,59.6500038288151,220,Flat,Roof,Private
65,Khosro,36.2895097217203,59.6103804447681,200,Vertical,Roof,Private
66,Markazi,36.2924452520353,59.6105449504441,60,Flat,Roof,Private
67,HassanKhan,36.3072471092049,59.6532012413054,400,Flat,Open,Private
68,Tabakuchi,36.2788735000931,59.6176847371661,200,Flat,Open,Private
69,Vahdat2,36.2851876309923,59.6247213621979,200,Flat,Open,Private
